Detected_Frame -> [ Distance , Curvature ] [avg_Dist_4]
341 -> [ -61 , 21 ]  -> [ -60 ] 
342 -> [ -64 , 15 ]  -> [ -60 ] 
343 -> [ -66 , 17 ]  -> [ -60 ] 
344 -> [ -66 , 17 ]  -> [ -64 ] 
345 -> [ -70 , 14 ]  -> [ -64 ] 
346 -> [ -70 , 14 ]  -> [ -64 ] 
347 -> [ -73 , 11 ]  -> [ -64 ] 
348 -> [ 75 , 10 ]  -> [ -34 ] 
349 -> [ 75 , 10 ]  -> [ -34 ] 
350 -> [ 75 , 10 ]  -> [ -34 ] 
351 -> [ 75 , 10 ]  -> [ -34 ] 
352 -> [ 75 , 7 ]  -> [ 75 ] 
353 -> [ 75 , 7 ]  -> [ 75 ] 
354 -> [ 75 , 7 ]  -> [ 75 ] 
355 -> [ 75 , 10 ]  -> [ 75 ] 
356 -> [ 75 , 10 ]  -> [ 75 ] 
357 -> [ 75 , 10 ]  -> [ 75 ] 
358 -> [ 75 , 10 ]  -> [ 75 ] 
359 -> [ 75 , 2 ]  -> [ 75 ] 
360 -> [ 75 , 11 ]  -> [ 75 ] 
361 -> [ 75 , 10 ]  -> [ 75 ] 
